,0
0,40.57
1,33.99
2,18.99
3,23.99
4,27.72
5,9.99
6,7.99
7,23.95
8,15.75
9,39.99
10,7.77
11,2.35
12,3.09
13,8.5
14,23.65
15,21.57
16,7.12
17,27.0
18,34.5
19,41.0
20,179.0
21,64.46
22,41.0
23,32.95
24,29.97
25,31.55
26,31.55
27,47.95
28,32.1
29,89.95
30,209.0
31,45.99
32,30.65
33,39.95
34,87.0
35,41.34
36,39.35
37,32.99
38,13.68
39,7.99
40,23.0
41,84.0
42,59.85
43,17.15
44,21.99
45,32.11
46,23.84
47,21.65
48,25.0
49,24.0
50,13.95
51,39.95
52,16.9
53,89.95
54,24.81
55,31.6
56,32.11
57,115.68
58,21.5
59,25.68
60,20.0
61,29.99
62,234.23
63,25.68
64,28.49
65,24.81
66,13.99
67,14.76
68,32.11
69,115.68
70,21.5
71,27.13
72,16.8
73,12.72
74,14.5
75,24.02
76,170.12
77,49.5
78,7.99
79,24.21
80,414.74
81,24.33
82,24.03
83,111.44
84,29.99
85,14.75
86,59.99
87,8.99
88,9.0
89,46.61
90,12.5
91,46.03
92,25.91
93,40.25
94,3.5
95,14.5
96,24.82
97,9.99
98,97.5
99,12.39
100,10.4
101,13.99
102,21.95
103,4.5
104,49.95
105,77.95
106,156.57
107,37.5
108,26.95
109,20.69
110,10.28
111,59.0
112,52.99
113,54.95
114,25.37
115,8.49
116,403.9
117,21.99
118,13.99
119,65.0
120,12.99
121,27.47
122,41.2
123,25.94
124,38.89
125,624.39
126,234.23
127,38.99
128,19.99
129,17.99
130,12.57
131,12.57
132,12.99
133,27.47
134,113.49
135,65.0
136,41.2
137,20.59
138,27.08
139,26.88
140,15.99
141,11.99
142,10.0
143,39.58
144,111.95
145,54.95
146,5.99
147,2.49
148,24.95
149,37.99
150,13.35
151,30.19
152,32.5
153,65.0
154,22.0
155,26.35
156,32.99
157,68.36
158,41.99
159,75.95
160,5.0
161,25.15
162,26.38
163,27.0
164,13.49
165,19.89
166,27.89
167,7.99
168,25.59
169,21.45
170,24.49
171,7.99
172,11.5
173,45.77
174,24.95
175,25.18
176,45.0
177,13.99
178,5.99
179,22.99
180,434.4
181,9.04
182,19.99
183,2.32
184,69.99
185,54.95
186,546.39
187,4.0
188,19.99
189,10.25
190,12.99
191,7.0
192,27.89
193,434.4
194,79.5
195,19.99
196,21.69
197,41.34
198,1.0
199,5.89
200,19.95
201,20.0
202,25.44
203,10.5
204,32.0
205,60.0
206,0.11
207,8.99
208,38.89
209,8.99
210,34.95
211,8.88
212,25.0
213,16.95
214,403.74
215,29.95
216,26.12
217,216.21
218,423.12
219,29.95
220,9.79
221,23.15
222,4.99
223,15.95
224,17.59
225,115.57
226,22.95
227,104.99
228,24.48
229,422.74
230,36.95
231,12.99
232,17.0
233,145.95
234,59.99
235,9.99
236,5.99
237,192.94
238,162.72
239,30.0
240,9.98
241,5.5
242,10.5
243,11.5
244,38.49
245,7.99
246,234.23
247,19.99
248,38.49
249,7.99
250,21.98
251,8.89
252,5.99
253,192.94
254,162.72
255,30.0
256,10.5
257,9.98
258,5.5
259,11.5
260,31.0
261,33.72
262,28.9
263,24.95
264,23.95
265,5.97
266,23.0
267,25.48
268,6.49
269,4.25
270,11.22
271,22.49
272,32.11
273,47.07
274,65.95
275,29.25
276,12.95
277,6.83
278,47.6
279,49.45
280,22.0
281,22.0
282,3.45
283,8.98
284,17.05
285,38.79
286,27.98
287,19.99
288,22.0
289,27.85
290,14.98
291,50.0
292,25.12
293,95.0
294,5.95
295,218.6
296,59.95
297,49.0
298,18.5
299,54.95
300,9.89
301,129.99
302,9.99
303,7.6
304,30.0
305,60.0
306,39.95
307,3.25
308,209.68
309,16.5
310,44.93
