,0
0,198.55
1,119.99
2,189.99
3,219.99
4,114.95
5,370.0
6,99.95
7,259.99
8,89.0
9,219.97
10,139.95
11,89.99
12,159.95
13,109.95
14,95.0
15,139.95
16,279.97
17,350.0
18,99.99
19,89.95
20,128.41
21,333.95
22,300.0
23,111.3
24,129.99
25,218.0
26,109.97
27,79.95
28,119.0
29,319.0
30,114.95
31,64.95
32,271.99
33,129.42
34,479.99
35,629.0
36,299.99
37,129.97
38,229.99
39,99.95
40,214.99
41,119.0
42,169.98
43,59.95
44,214.97
45,699.99
46,139.99
47,195.0
48,79.95
49,89.95
50,107.99
51,119.95
52,159.99
53,204.97
54,139.97
55,70.0
56,114.95
57,600.0
58,149.0
59,129.99
60,149.95
61,209.97
62,164.0
63,59.95
64,164.0
65,89.95
66,97.89
67,234.99
68,199.95
69,600.0
70,139.99
71,144.99
72,90.0
73,79.99
74,639.99
75,149.9
76,299.99
77,145.0
78,114.95
79,75.0
80,79.99
81,459.0
82,129.88
83,74.99
84,79.99
85,139.95
86,109.95
87,109.95
88,114.95
89,138.0
90,194.95
91,86.0
92,150.0
93,59.99
94,255.0
95,96.99
96,649.99
97,84.99
98,329.0
99,121.99
100,84.99
101,99.97
102,129.99
103,138.45
104,229.21
105,339.99
106,89.95
107,130.0
108,69.99
109,129.99
110,69.95
111,119.0
112,108.0
113,446.99
114,99.99
115,149.99
116,109.99
117,219.97
118,169.95
119,349.99
120,125.0
121,204.97
122,140.0
123,120.0
124,144.95
125,99.95
126,79.0
127,69.95
128,136.0
129,114.97
130,239.99
131,124.95
132,59.95
133,105.0
134,149.95
135,86.0
136,164.95
137,329.99
138,319.97
139,159.0
140,115.0
141,79.99
142,69.99
143,109.99
144,91.0
145,220.0
146,244.97
147,74.99
148,174.99
149,109.95
150,70.0
151,159.99
152,85.0
153,65.0
154,199.99
155,245.0
156,89.0
157,115.0
158,300.0
159,287.0
160,69.99
161,85.0
162,589.0
163,160.0
164,94.05
165,114.95
166,50.0
167,135.0
168,89.0
169,88.99
170,84.99
171,99.99
172,74.99
173,189.99
174,119.99
175,144.95
176,130.0
177,250.0
178,400.0
179,209.95
180,219.0
181,134.99
182,144.95
183,549.0
184,50.0
185,49.0
186,99.99
187,95.0
188,269.95
189,76.49
190,234.54
191,234.39
192,269.95
193,70.0
194,85.99
195,259.99
196,249.95
197,549.0
198,219.0
199,239.99
200,99.99
201,49.0
202,199.99
203,95.0
204,35.89
205,64.95
206,79.95
207,174.99
208,84.0
209,94.99
210,34.5
211,274.0
212,71.25
213,108.0
214,299.99
215,255.23
216,139.99
217,89.95
218,275.0
219,149.99
220,76.5
221,119.99
222,124.95
223,164.97
224,45.99
225,52.99
226,110.0
227,309.0
228,99.99
229,64.99
230,119.0
231,166.99
232,67.99
233,289.96
234,199.88
235,99.0
236,115.0
237,64.49
238,104.95
239,289.0
240,74.99
241,149.95
242,79.99
243,135.99
244,205.5
245,107.99
246,79.95
247,49.99
248,259.0
249,96.99
250,69.95
251,89.95
252,759.99
253,99.95
254,89.99
255,234.23
256,234.23
257,142.0
258,164.95
259,179.95
260,204.95
261,114.0
262,109.0
263,169.97
264,79.99
265,146.99
266,249.99
267,199.99
268,149.99
269,225.0
270,169.0
271,79.95
272,209.0
273,89.99
274,279.97
275,29.99
276,439.0
277,109.95
278,45.0
279,115.0
280,129.95
281,149.0
282,114.95
283,76.5
284,259.99
285,759.99
286,79.95
287,74.95
288,145.0
289,199.99
290,495.0
291,194.99
292,119.88
293,299.0
294,94.78
295,114.95
296,49.99
297,259.97
298,96.99
299,111.99
300,64.99
301,89.95
302,54.99
303,144.95
304,363.99
305,159.99
306,145.0
307,250.0
308,319.97
309,119.0
310,215.99
311,115.98
312,174.99
313,289.96
314,139.99
315,399.0
316,89.95
317,279.97
318,130.0
319,156.85
