,0
0,8.95
1,8.95
2,14.95
3,11.99
4,8.99
5,22.99
6,26.95
7,24.99
8,19.99
9,18.99
10,22.99
11,22.99
12,10.99
13,8.99
14,9.95
15,15.95
16,19.95
17,22.99
18,7.99
19,20.99
20,19.99
21,9.99
22,8.99
23,5.44
24,24.59
25,9.95
26,24.99
27,20.95
28,6.95
29,14.95
30,7.45
31,9.95
32,16.14
33,8.99
34,39.23
35,14.39
36,50.55
37,8.99
38,19.97
39,9.89
40,8.95
41,41.95
42,7.99
43,34.99
44,23.01
45,9.99
46,10.0
47,22.99
48,8.09
49,7.99
50,8.95
51,6.99
52,26.99
53,8.95
54,7.99
55,16.95
56,18.99
57,6.99
58,9.99
59,15.22
60,11.11
61,10.0
62,24.99
63,11.11
64,15.98
65,18.99
66,6.99
67,6.64
68,15.98
69,39.99
70,5.94
71,8.95
72,7.49
73,8.89
74,19.99
75,26.95
76,22.99
77,3.99
78,9.95
79,7.99
80,46.0
81,2.82
82,5.99
83,11.5
84,9.95
85,7.49
86,31.0
87,6.6
88,1.7
89,105.0
90,6.99
91,35.99
92,6.95
93,12.99
94,36.9
95,10.95
96,16.99
97,16.62
98,46.04
99,19.99
100,10.0
101,70.0
102,16.99
103,12.95
104,17.95
105,13.99
106,8.89
107,39.99
108,7.95
109,4.59
110,18.99
111,7.69
112,6.5
113,28.8
114,13.76
115,8.95
116,13.99
117,6.7
118,3.98
119,1.95
120,9.95
121,10.0
122,9.95
123,10.0
124,7.99
125,26.95
126,6.99
127,8.59
128,9.95
129,20.99
130,3.95
131,83.0
132,13.0
133,9.89
134,9.99
135,5.95
136,11.89
137,29.99
138,7.95
139,1.99
140,28.0
141,2.95
142,14.95
143,6.7
144,11.01
145,6.36
146,27.99
147,24.89
148,13.97
149,12.25
150,11.99
151,6.99
152,9.99
153,13.0
154,22.99
155,21.9
156,6.99
157,5.99
158,39.99
159,6.95
160,12.95
161,9.99
162,69.9
163,9.95
164,3.99
165,47.0
166,69.99
167,12.25
168,5.97
169,9.98
170,7.9
171,9.75
172,5.97
173,26.95
174,21.7
175,14.99
176,25.88
177,9.89
178,34.99
179,35.99
180,0.99
181,19.99
182,45.89
183,8.99
184,7.59
185,7.49
186,9.95
187,15.99
188,8.99
189,49.5
190,59.99
191,18.95
192,10.99
193,6.98
194,36.0
195,75.99
196,9.95
197,7.99
198,8.99
199,21.79
200,17.99
201,7.99
202,2.65
203,5.69
204,15.5
205,35.99
206,43.9
207,22.84
208,1.5
209,4.68
210,14.0
211,29.75
212,6.55
213,10.9
214,33.0
215,2.99
216,10.0
217,2.29
218,6.95
219,12.99
220,17.5
221,12.99
222,10.9
223,39.98
224,9.99
225,6.95
226,6.99
227,4.49
228,15.97
229,29.99
230,41.99
231,51.89
232,19.95
233,13.97
234,7.95
235,10.02
236,11.95
237,5.99
238,12.5
239,7.99
240,32.95
241,19.99
242,26.7
243,30.64
244,40.49
245,11.95
246,5.99
247,8.95
248,28.06
249,8.03
250,10.44
251,6.95
252,9.92
253,10.49
254,9.99
255,16.99
256,17.99
257,7.79
258,40.0
259,7.95
260,15.19
261,19.99
262,10.95
263,15.83
264,34.95
265,11.87
266,0.99
267,12.25
268,5.98
269,21.48
270,12.95
271,4.95
272,139.99
273,19.99
274,8.99
275,18.97
276,8.99
277,23.75
278,11.99
279,7.99
280,13.4
281,10.0
282,6.49
283,19.99
284,5.24
285,34.95
286,20.99
287,109.99
288,1.75
289,12.99
290,10.44
291,9.49
292,11.99
293,100.44
294,10.95
295,8.99
296,8.49
297,12.99
