,0
0,3.49
1,39.99
2,6.17
3,34.9
4,23.39
5,15.99
6,9.99
7,19.95
8,9.99
9,14.95
10,8.99
11,42.99
12,7.39
13,15.77
14,12.99
15,13.95
16,12.99
17,455.0
18,25.99
19,18.73
20,41.99
21,23.5
22,6.99
23,22.39
24,11.99
25,10.99
26,69.89
27,14.99
28,37.99
29,8.99
30,13.99
31,11.99
32,16.99
33,42.99
34,13.55
35,13.0
36,13.49
37,23.99
38,6.29
39,25.85
40,62.0
41,11.78
42,300.0
43,14.95
44,52.99
45,26.59
46,11.69
47,12.95
48,8.99
49,11.19
50,35.0
51,119.95
52,14.69
53,14.49
54,12.99
55,9.45
56,28.99
57,35.95
58,14.99
59,11.99
60,57.95
61,6.09
62,8.5
63,234.23
64,29.99
65,8.5
66,21.9
67,29.99
68,19.52
69,11.99
70,12.99
71,19.99
72,9.45
73,10.99
74,12.99
75,57.95
76,39.99
77,46.99
78,35.99
79,17.99
80,19.99
81,29.97
82,53.5
83,26.96
84,14.99
85,19.75
86,7.13
87,18.99
88,29.99
89,41.99
90,39.99
91,49.95
92,14.99
93,14.95
94,47.95
95,9.99
96,39.99
97,49.99
98,49.95
99,9.95
100,49.97
101,65.99
102,7.99
103,22.99
104,67.99
105,39.12
106,11.99
107,8.99
108,174.99
109,16.99
110,17.99
111,16.95
112,64.99
113,13.31
114,39.99
115,9.99
116,11.5
117,29.99
118,8.95
119,6.49
120,6.88
121,37.99
122,14.99
123,36.89
124,8.95
125,29.9
126,20.99
127,234.54
128,16.99
129,8.99
130,6.49
131,7.99
132,14.99
133,7.95
134,21.88
135,13.89
136,34.15
137,15.49
138,21.95
139,16.71
140,8.99
141,6.99
142,15.48
143,39.99
144,35.99
145,16.95
146,74.99
147,9.99
148,26.97
149,9.99
150,45.65
151,16.99
152,19.85
153,15.5
154,39.0
155,23.99
156,40.99
157,11.39
158,11.59
159,10.97
160,13.99
161,10.0
162,31.99
163,119.99
164,29.99
165,17.99
166,29.9
167,22.49
168,49.99
169,17.95
170,22.99
171,9.99
172,21.84
173,8.88
174,9.99
175,27.0
176,94.99
177,27.16
178,8.31
179,14.2
180,59.99
181,24.99
182,19.99
183,49.99
184,10.96
185,12.3
186,28.99
187,7.39
188,12.95
189,11.85
190,9.99
191,234.23
192,546.39
193,3.49
194,9.29
195,10.92
196,25.99
197,25.99
198,12.95
199,29.95
200,24.99
201,5.35
202,299.95
203,10.15
204,8.07
205,20.59
206,10.39
207,19.59
208,10.89
209,29.99
210,21.99
211,11.39
212,22.97
213,10.55
214,48.99
215,11.69
216,19.98
217,8.99
218,12.95
219,79.95
220,15.24
221,9.4
222,27.49
223,23.99
224,24.99
225,3.85
226,13.29
227,3.49
228,58.99
229,13.25
230,49.95
231,25.64
232,13.99
233,10.99
234,14.99
235,11.4
236,64.99
237,23.99
238,45.0
239,9.99
240,20.68
241,32.99
242,7.27
243,15.99
244,119.95
245,19.0
246,10.44
247,14.85
248,15.39
249,27.49
250,18.95
251,10.95
252,8.45
253,11.59
254,16.99
255,127.39
256,21.99
257,8.99
258,18.04
259,20.92
260,17.91
261,59.95
262,38.99
263,10.55
264,19.94
265,12.99
266,10.44
267,18.95
268,10.97
269,139.0
270,19.99
271,10.99
272,7.99
273,29.99
274,12.98
275,11.99
276,139.99
277,21.59
278,13.25
279,5.99
280,10.48
281,14.99
282,9.99
283,3.75
284,11.39
285,129.95
286,59.95
287,14.95
288,19.99
289,15.39
290,21.99
291,27.49
292,25.99
293,6.39
294,11.59
295,29.99
296,10.61
297,10.95
298,127.39
299,8.99
300,84.99
301,8.99
302,8.47
303,4.95
304,18.37
305,19.99
306,8.99
307,8.49
308,11.15
309,109.95
310,32.99
311,13.99
312,22.79
313,41.99
314,18.95
315,10.99
316,22.5
317,15.19
318,10.99
319,234.54
320,3.49
321,6.17
322,12.99
323,23.39
324,18.73
325,15.99
326,9.99
327,19.95
328,14.95
329,9.99
330,42.99
331,8.99
332,25.99
333,455.0
334,13.95
335,39.99
336,7.39
337,15.77
338,69.89
339,12.99
340,41.99
341,8.99
342,23.5
343,34.9
344,6.29
345,14.99
346,7.89
347,37.99
348,6.99
349,10.99
350,13.99
351,300.0
352,52.99
353,42.99
354,35.0
355,13.49
356,85.0
357,13.55
358,11.99
359,22.39
360,23.99
361,28.99
362,14.95
363,11.99
364,11.78
365,12.95
366,11.69
367,12.95
368,20.85
369,13.0
370,26.59
371,26.96
372,62.0
373,14.69
374,35.95
375,8.99
376,38.99
377,16.99
378,19.99
379,14.49
380,16.99
381,6.09
382,21.9
383,29.9
384,21.9
385,29.99
386,19.52
387,17.99
388,12.95
389,85.0
390,19.99
391,19.99
392,12.99
393,20.85
394,16.99
395,26.96
396,14.99
397,15.99
398,7.99
399,53.5
400,46.99
401,7.89
402,47.95
403,49.95
404,39.99
405,10.49
406,29.9
407,20.99
408,19.75
409,65.99
410,10.99
411,8.95
412,7.13
413,49.99
414,49.97
415,39.99
416,29.97
417,34.15
418,13.31
419,49.95
420,38.99
421,18.99
422,29.99
423,41.99
424,39.99
425,64.99
426,7.99
427,22.99
428,9.95
429,11.99
430,7.95
431,14.95
432,8.99
433,67.99
434,16.99
435,17.99
436,9.99
437,13.89
438,17.95
439,174.99
440,74.99
441,9.99
442,17.99
443,40.99
444,29.99
445,8.99
446,16.99
447,6.49
448,7.99
449,15.48
450,39.99
451,74.99
452,35.99
453,6.99
454,16.95
455,9.99
456,26.97
457,15.5
458,13.89
459,10.0
460,9.99
461,3.49
462,6.88
463,11.59
464,21.88
465,9.95
466,17.95
467,40.99
468,11.39
469,14.99
470,10.96
471,22.99
472,39.0
473,23.99
474,31.99
475,14.99
476,9.99
477,10.97
478,11.5
479,19.85
480,119.99
481,13.99
482,9.99
483,8.88
484,22.49
485,29.9
486,27.0
487,8.31
488,170.0
489,6.49
490,94.99
491,27.16
492,19.99
493,59.99
494,12.3
495,21.84
496,28.99
497,7.39
498,12.95
499,29.95
500,29.99
501,5.35
502,8.07
503,24.99
504,49.99
505,21.99
506,14.99
507,11.85
508,8.99
509,3.49
510,10.92
511,9.29
512,25.99
513,25.99
514,5.35
515,10.15
516,299.95
517,8.07
518,29.99
519,20.59
520,2.49
521,11.39
522,22.97
523,19.59
524,19.98
525,21.99
526,10.55
527,48.99
528,11.69
529,79.95
530,15.24
531,229.95
532,10.89
533,8.99
534,9.4
535,27.49
536,23.99
537,49.99
538,3.85
539,13.29
540,12.95
541,3.49
542,58.99
543,13.25
544,49.95
545,14.99
546,59.95
547,25.64
548,13.99
549,24.99
550,11.4
551,64.99
552,23.99
553,8.99
554,10.99
555,9.99
556,20.68
557,32.99
558,7.27
559,45.0
560,119.95
561,19.0
562,10.44
563,14.85
564,15.39
565,27.49
566,18.95
567,10.39
