,0
0,24.98
1,23.99
2,28.99
3,26.99
4,23.99
5,29.95
6,1.0
7,11.5
8,11.99
9,27.5
10,60.0
11,28.95
12,25.0
13,25.99
14,14.99
15,29.99
16,23.99
17,24.99
18,9.99
19,30.99
20,30.0
21,50.0
22,19.88
23,19.99
24,27.99
25,37.99
26,23.97
27,23.99
28,19.99
29,5.0
30,19.99
31,41.99
32,5.0
33,17.99
34,19.99
35,23.98
36,5.0
37,24.99
38,23.99
39,9.2
40,24.99
41,24.99
42,24.99
43,5.0
44,28.0
45,23.0
46,5.0
47,24.99
48,19.99
49,25.0
50,32.5
51,34.99
52,29.99
53,29.95
54,24.87
55,40.0
56,30.99
57,5.0
58,23.98
59,34.99
60,24.99
61,35.99
62,9.95
63,17.99
64,22.98
65,37.49
66,24.99
67,859.39
68,22.98
69,24.99
70,39.99
71,40.0
72,23.95
73,42.23
74,59.99
75,17.99
76,14.99
77,34.99
78,29.95
79,9.99
80,29.98
81,30.0
82,11.99
83,39.99
84,24.99
85,49.99
86,41.98
87,71.99
88,34.99
89,49.99
90,8.5
91,12.0
92,12.99
93,29.99
94,23.99
95,50.0
96,0.99
97,24.95
98,9.99
99,47.49
100,40.0
101,5.0
102,23.99
103,26.99
104,41.95
105,9.99
106,39.99
107,24.99
108,23.99
109,24.98
110,40.0
111,26.5
112,29.99
113,6.9
114,34.99
115,25.0
116,40.0
117,29.99
118,17.5
119,24.99
120,24.99
121,8.0
122,19.95
123,18.0
124,58.0
125,41.99
126,11.99
127,5.0
128,30.0
129,39.99
130,19.99
131,9.99
132,39.99
133,17.88
134,156.62
135,546.39
136,546.39
137,34.99
138,39.99
139,22.99
140,39.99
141,33.98
142,21.99
143,20.75
144,30.0
145,14.95
146,29.99
147,149.99
148,29.99
149,15.4
150,8.0
151,39.99
152,19.99
153,19.99
154,34.99
155,20.0
156,40.98
157,40.0
158,40.0
159,29.95
160,29.49
161,14.99
162,39.99
163,23.0
164,27.99
165,35.0
166,9.34
167,16.79
168,11.99
169,19.99
170,39.99
171,44.99
172,40.0
173,39.99
174,11.69
175,52.95
176,39.99
177,32.99
178,34.99
179,25.0
180,150.0
181,49.99
182,49.99
183,11.99
184,19.77
185,40.0
186,29.99
187,40.0
188,40.0
189,18.99
190,39.99
191,19.99
192,40.0
193,9.99
194,23.9
195,19.99
196,14.99
197,39.99
198,24.99
199,19.99
200,24.99
201,19.99
202,11.99
203,40.0
204,40.0
205,39.99
206,49.99
207,55.0
208,19.77
209,29.99
210,40.0
211,40.0
212,40.0
213,40.0
214,19.99
215,39.99
216,18.99
217,39.99
218,37.99
219,19.99
220,17.99
221,40.0
222,19.99
223,39.99
224,17.99
225,14.99
226,49.99
227,34.99
228,49.99
229,9.99
230,29.99
231,17.96
232,40.0
233,39.99
234,47.0
235,19.99
236,59.99
237,4.89
238,20.0
239,19.99
240,24.99
241,63.0
242,44.99
243,14.99
244,12.99
245,49.99
246,15.0
247,39.96
248,29.2
249,3.99
250,16.99
251,40.0
252,31.49
253,5.89
254,32.99
255,210.0
256,29.99
257,29.99
258,40.0
259,28.99
260,37.95
261,11.99
262,75.0
263,40.0
264,40.0
265,52.95
266,58.0
267,39.99
268,37.95
269,20.0
270,17.69
271,33.99
272,24.99
273,28.99
274,34.99
275,26.99
276,29.0
277,19.99
278,19.95
279,115.0
280,39.99
281,19.99
282,29.95
283,18.88
284,42.99
285,40.0
286,17.99
287,34.95
288,24.99
289,24.99
290,19.88
291,69.0
292,11.99
293,39.99
294,33.99
295,40.0
296,29.99
297,52.64
298,74.22
299,19.99
300,15.0
301,9.99
302,30.0
303,26.0
304,19.99
305,17.99
306,10.99
307,33.99
308,25.0
309,23.99
310,35.0
311,49.99
312,10.99
313,49.99
314,49.99
315,49.99
316,112.99
317,15.95
318,27.99
319,44.99
320,39.99
321,39.96
322,45.0
323,49.99
324,56.0
325,29.99
