,0
0,7.47
1,0.99
2,6.95
3,5.3
4,4.99
5,1.25
6,5.89
7,0.99
8,1.07
9,1.55
10,5.49
11,7.23
12,5.09
13,4.99
14,5.98
15,0.99
16,1.67
17,6.71
18,11.49
19,3.62
20,4.3
21,2.41
22,4.99
23,3.98
24,4.75
25,6.48
26,4.39
27,1.89
28,8.89
29,4.79
30,5.09
31,5.49
32,0.99
33,1.06
34,6.99
35,4.2
36,1.92
37,2.09
38,0.99
39,1.23
40,9.39
41,0.99
42,5.99
43,0.99
44,4.46
45,8.46
46,2.69
47,6.99
48,6.49
49,5.55
50,0.99
51,2.84
52,1.09
53,1.35
54,5.98
55,2.27
56,1.89
57,1.89
58,2.37
59,1.83
60,8.99
61,1.35
62,5.98
63,0.99
64,5.39
65,7.03
66,1.87
67,1.32
68,8.49
69,5.59
70,4.74
71,2.2
72,3.99
73,0.99
74,1.89
75,9.99
76,1.18
77,0.99
78,1.89
79,2.28
80,4.29
81,0.99
82,5.98
83,6.57
84,2.69
85,5.19
86,1.79
87,0.99
88,1.32
89,6.99
90,0.99
91,3.99
92,1.74
93,1.7
94,4.95
95,4.99
96,1.49
97,0.99
98,9.56
99,8.27
100,0.99
101,0.99
102,4.99
103,7.99
104,5.22
105,8.99
106,4.99
107,0.99
108,3.31
109,6.99
110,1.91
111,1.99
112,1.89
113,156.85
114,5.98
115,0.99
116,4.48
117,1.89
118,1.7
119,6.99
120,4.99
121,1.91
122,0.99
123,0.99
124,3.59
125,3.82
126,5.99
127,1.74
128,2.46
129,2.29
130,1.94
131,1.86
132,1.5
133,0.99
134,8.75
135,3.13
136,0.99
137,1.88
138,4.99
139,9.99
140,7.79
141,4.95
142,6.99
143,1.38
144,0.99
145,0.99
146,3.97
147,0.99
148,2.84
149,5.96
150,0.99
151,4.99
152,2.56
153,0.99
154,0.99
155,0.99
156,1.99
157,0.99
158,0.99
159,5.52
160,10.14
161,1.23
162,11.49
163,7.79
164,1.2
165,0.99
166,7.95
167,0.99
168,2.08
169,2.54
170,156.62
171,546.39
172,234.23
173,6.79
174,5.04
175,1.89
176,1.61
177,4.67
178,5.09
179,0.99
180,1.89
181,4.99
182,7.49
183,2.54
184,1.89
185,1.92
186,0.99
187,1.99
188,0.99
189,7.99
190,4.99
191,5.58
192,2.85
193,5.63
194,0.99
195,11.49
196,0.99
197,6.39
198,5.99
199,3.13
200,0.99
201,2.75
202,1.35
203,4.27
204,0.99
205,2.2
206,2.47
207,2.47
208,0.99
209,0.99
210,1.28
211,9.99
212,5.99
213,9.99
214,0.99
215,1.29
216,2.42
217,2.43
218,1.83
219,1.87
220,3.41
221,1.57
222,5.99
223,1.34
224,2.11
225,6.99
226,234.23
227,546.39
228,6.99
229,1.8
230,5.75
231,2.79
232,3.67
233,1.57
234,5.99
235,1.34
236,3.83
237,2.98
238,2.06
239,1.79
240,3.99
241,2.28
242,2.97
243,1.29
244,0.99
245,3.99
246,3.99
247,1.25
248,2.46
249,2.84
250,1.89
251,0.99
252,11.99
253,1.51
254,0.99
255,1.15
256,0.99
257,11.99
258,2.99
259,1.61
260,2.66
261,2.49
262,2.77
263,1.31
264,1.13
265,1.49
266,1.13
267,1.43
268,6.99
269,1.42
270,10.99
271,2.99
272,5.59
273,0.99
274,4.99
275,2.39
276,7.79
277,0.99
278,0.99
279,2.61
280,5.0
281,2.29
282,7.99
283,624.39
284,234.39
