,0
0,129.99
1,228.0
2,124.99
3,99.99
4,188.77
5,150.0
6,210.0
7,149.99
8,549.99
9,66.45
10,368.95
11,269.99
12,79.0
13,229.92
14,202.5
15,169.99
16,119.95
17,349.0
18,269.99
19,80.0
20,225.0
21,104.95
22,375.0
23,500.0
24,149.99
25,99.99
26,149.99
27,132.0
28,112.95
29,244.44
30,152.5
31,128.73
32,249.99
33,26.0
34,149.99
35,199.98
36,9.99
37,142.0
38,27.99
39,144.95
40,59.99
41,169.95
42,97.99
43,28.0
44,129.95
45,145.0
46,9.99
47,365.99
48,24.99
49,199.99
50,199.99
51,229.0
52,239.0
53,285.0
54,373.0
55,189.99
56,79.99
57,79.99
58,99.0
59,169.99
60,189.0
61,0.99
62,124.99
63,58.0
64,289.0
65,150.0
66,162.0
67,214.99
68,159.95
69,242.0
70,129.0
71,289.0
72,10.5
73,219.38
74,337.77
75,27.99
76,39.99
77,447.77
78,9.99
79,282.0
80,389.0
81,159.0
82,429.0
83,189.99
84,246.99
85,199.99
86,529.99
87,0.99
88,153.33
89,173.0
90,59.95
91,169.95
92,27.99
93,115.0
94,249.0
95,24.99
96,229.0
97,199.99
98,189.95
99,24.99
100,419.99
101,129.99
102,359.0
103,59.0
104,49.99
105,119.95
106,499.97
107,118.0
108,149.99
109,102.5
110,425.0
111,30.0
112,40.0
113,214.0
114,179.99
115,9.99
116,208.0
117,449.0
118,247.0
119,700.0
120,87.49
121,347.76
122,263.0
123,500.0
124,559.99
125,174.99
126,799.0
127,109.95
128,119.99
129,27.99
130,144.95
131,149.95
132,129.99
133,199.99
134,183.0
135,119.99
136,119.0
137,700.0
138,263.0
139,500.0
140,24.99
141,609.0
142,799.99
143,54.99
144,27.99
145,134.99
146,9.99
147,229.99
148,799.0
149,65.0
150,125.0
151,348.0
152,150.33
153,49.99
154,79.95
155,249.49
156,125.0
157,69.83
158,594.3
159,100.0
160,200.0
161,255.95
162,157.0
163,40.0
164,149.95
165,284.99
166,80.0
167,160.0
168,319.95
169,250.0
170,99.99
171,325.0
172,189.99
173,157.5
174,109.95
175,140.98
176,165.0
177,387.77
178,76.0
179,98.8
180,49.99
181,100.0
182,80.74
183,27.99
184,146.0
185,149.99
186,299.99
187,249.0
188,47.0
189,74.95
190,155.0
191,167.5
192,54.45
193,233.0
194,98.99
195,164.99
196,124.99
197,90.0
198,160.0
199,129.99
200,169.99
201,64.0
202,234.54
203,59.84
204,199.98
205,69.99
206,169.99
207,399.0
208,609.85
209,285.74
210,89.99
211,279.77
212,317.77
213,129.0
214,489.0
215,139.99
216,120.0
217,329.99
218,74.99
219,185.0
220,417.95
221,199.99
222,189.9
223,69.67
224,49.95
225,249.99
226,64.0
227,499.0
228,299.99
229,55.0
230,270.0
231,134.99
232,222.0
233,110.0
234,179.99
235,99.49
236,199.99
237,250.0
238,349.99
239,899.0
240,199.99
241,129.95
242,289.95
243,160.0
244,289.57
245,44.98
246,329.99
247,170.0
248,219.8
249,249.99
250,99.95
251,189.99
252,229.99
253,58.0
254,69.99
255,359.99
256,119.99
257,119.0
258,629.99
259,184.99
260,377.77
261,99.99
262,244.99
263,149.99
264,160.0
265,234.39
266,69.99
267,129.95
268,120.0
269,160.0
270,69.99
271,349.99
272,899.0
273,289.95
274,160.0
275,289.57
276,377.77
277,329.99
278,170.0
279,190.0
280,184.95
281,84.95
282,249.99
283,129.95
284,229.99
285,119.0
286,718.89
287,58.0
288,359.99
289,160.5
290,119.99
291,55.0
292,279.99
293,212.0
294,629.99
295,99.99
296,399.0
297,549.99
298,60.0
299,170.0
300,450.0
301,244.99
302,160.0
303,99.95
304,190.99
305,319.0
306,245.0
307,799.99
308,188.89
309,799.99
310,139.99
311,147.99
312,125.0
313,140.0
314,489.99
315,333.95
316,174.99
317,120.0
318,94.99
319,94.99
320,70.0
321,129.99
322,165.89
323,449.95
324,300.0
325,619.99
326,125.0
327,97.95
328,249.99
329,234.54
