,0
0,21.99
1,0.99
2,8.99
3,9.99
4,10.99
5,5.99
6,3.99
7,6.79
8,6.89
9,6.99
10,5.49
11,5.59
12,7.99
13,3.99
14,6.29
15,0.99
16,4.99
17,6.99
18,5.87
19,8.79
20,4.99
21,5.45
22,5.99
23,4.59
24,5.49
25,5.99
26,6.99
27,3.99
28,15.45
29,3.99
30,10.37
31,4.89
32,12.55
33,13.99
34,6.99
35,4.48
36,8.25
37,6.95
38,8.09
39,2.97
40,4.59
41,0.99
42,6.86
43,12.45
44,11.95
45,10.99
46,12.5
47,5.99
48,12.08
49,6.99
50,1.99
51,8.99
52,5.95
53,2.49
54,1.89
55,13.99
56,10.99
57,5.04
58,3.99
59,3.99
60,1.95
61,6.99
62,6.99
63,7.99
64,156.62
65,546.39
66,546.39
67,10.44
68,8.39
69,3.79
70,7.12
71,3.99
72,17.0
73,6.59
74,9.49
75,4.48
76,4.36
77,1.32
78,3.0
79,1.15
80,10.99
81,1.66
82,13.99
83,20.95
84,3.08
85,4.99
86,12.41
87,8.64
88,24.95
89,8.99
90,8.97
91,7.51
92,8.98
93,3.49
94,7.78
95,17.99
96,3.99
97,8.99
98,2.49
99,3.99
100,6.99
101,6.2
102,6.69
103,3.57
104,6.99
105,8.07
106,13.99
107,6.99
108,0.99
109,5.98
110,3.99
111,3.73
112,5.99
113,8.49
114,5.62
115,13.68
116,25.99
117,11.88
118,6.99
119,2.99
120,12.99
121,6.75
122,17.99
123,8.0
124,6.87
125,3.99
126,1.59
127,6.45
128,12.99
129,8.99
130,9.99
131,234.23
132,18.49
133,4.99
134,4.99
135,7.99
136,6.99
137,6.87
138,5.99
139,20.95
140,11.99
141,3.99
142,0.99
143,12.95
144,8.99
145,2.99
146,13.98
147,7.51
148,6.85
149,5.49
150,5.69
151,10.99
152,5.9
153,18.0
154,3.99
155,9.95
156,7.95
157,8.99
158,11.18
159,3.69
160,10.0
161,2.99
162,16.99
163,1.89
164,5.99
165,8.85
166,7.55
167,3.99
168,6.95
169,23.0
170,5.85
171,7.99
172,1.3
173,14.75
174,8.25
175,8.75
176,1.95
177,1.99
178,6.59
179,17.21
180,14.99
181,10.99
182,2.99
183,0.99
184,0.99
185,9.75
186,39.88
187,5.41
188,3.98
189,4.17
190,4.69
191,1.97
192,2.74
193,12.99
194,3.2
195,6.99
196,12.99
197,3.99
198,4.7
199,3.22
200,1.88
201,2.99
202,8.26
203,0.99
204,1.97
205,8.25
206,18.0
207,3.32
208,2.99
209,6.49
210,1.47
211,12.0
212,1.69
213,8.99
214,1.85
215,4.5
216,1.29
217,13.95
218,30.0
219,10.95
220,8.54
221,1.99
222,9.99
223,1.89
224,2.77
225,8.0
226,4.99
227,3.99
228,9.0
229,11.99
230,14.95
231,6.59
232,2.99
233,0.99
234,1.99
235,11.99
236,8.95
237,9.79
238,8.99
239,5.99
240,11.99
241,14.0
242,4.98
243,8.95
244,12.2
245,5.99
246,2.45
247,12.99
248,27.99
249,10.99
250,23.0
251,7.14
252,3.85
253,3.32
254,1.69
255,8.89
256,7.99
257,8.99
258,156.62
259,546.39
260,546.39
261,8.99
262,4.99
263,7.99
264,3.99
265,10.99
266,9.5
267,18.99
268,12.0
269,11.79
270,9.75
271,1.0
272,3.99
273,6.96
274,8.25
275,1.88
276,12.89
277,17.95
278,12.2
279,2.99
280,2.49
281,7.0
282,11.99
283,7.29
284,8.99
285,1.46
286,8.99
287,1.79
288,9.18
289,5.51
290,3.99
291,3.7
292,6.99
293,5.89
294,12.25
295,2.99
296,5.75
297,7.92
298,5.09
299,11.99
300,10.99
301,9.99
302,10.99
303,4.19
304,1.04
305,4.96
306,11.99
307,5.98
308,9.0
309,27.99
310,5.99
311,1.98
312,14.0
313,22.0
314,12.99
315,21.99
316,9.99
317,30.0
318,7.0
319,0.99
320,3.89
321,8.99
322,9.99
323,4.99
324,234.23
