,0
0,24.99
1,12.99
2,9.78
3,9.99
4,14.99
5,11.35
6,15.25
7,13.68
8,21.99
9,24.99
10,11.37
11,7.99
12,21.0
13,15.99
14,14.95
15,14.95
16,7.88
17,11.83
18,15.99
19,19.98
20,10.95
21,19.99
22,12.99
23,34.49
24,21.99
25,24.99
26,10.24
27,11.99
28,17.99
29,7.99
30,11.48
31,13.8
32,7.75
33,8.99
34,19.99
35,11.25
36,17.45
37,13.99
38,42.87
39,12.97
40,21.96
41,36.1
42,14.99
43,11.38
44,20.0
45,11.99
46,18.99
47,24.99
48,19.99
49,25.97
50,16.0
51,9.7
52,15.99
53,7.99
54,27.99
55,16.99
56,19.96
57,15.72
58,11.99
59,11.84
60,6.99
61,7.97
62,13.97
63,8.85
64,5.77
65,28.93
66,27.49
67,15.99
68,11.89
69,29.99
70,12.99
71,22.99
72,32.49
73,44.94
74,24.99
75,7.98
76,7.89
77,7.97
78,32.99
79,11.45
80,11.95
81,13.99
82,15.72
83,7.54
84,14.8
85,15.2
86,19.81
87,10.25
88,10.98
89,7.89
90,10.99
91,7.87
92,8.45
93,7.89
94,15.9
95,7.0
96,5.12
97,8.25
98,9.99
99,6.43
100,6.0
101,4.99
102,13.99
103,13.94
104,14.49
105,38.99
106,12.18
107,12.73
108,12.99
109,13.99
110,11.49
111,19.99
112,6.31
113,39.99
114,34.99
115,16.31
116,30.97
117,5.29
118,14.98
119,17.49
120,7.95
121,12.99
122,29.99
123,12.84
124,15.0
125,23.94
126,35.99
127,16.99
128,11.99
129,4.99
130,14.99
131,9.6
132,41.11
133,16.99
134,9.95
135,2.0
136,28.57
137,15.99
138,12.79
139,11.44
140,19.81
141,7.79
142,9.49
143,12.97
144,6.67
145,41.77
146,24.99
147,37.75
148,15.99
149,6.97
150,7.99
151,7.89
152,16.99
153,11.99
154,12.4
155,8.25
156,4.75
157,12.95
158,44.11
159,21.95
160,44.81
161,16.99
162,18.95
163,1.0
164,23.8
165,12.97
166,16.99
167,24.95
168,23.99
169,10.0
170,33.94
171,15.0
172,7.99
173,11.5
174,135.0
175,16.99
176,9.99
177,14.99
178,9.86
179,7.99
180,8.98
181,22.95
182,14.95
183,9.98
184,47.94
185,39.99
186,37.99
187,20.0
188,14.99
189,234.23
190,859.39
191,29.99
192,39.19
193,23.74
194,17.99
195,14.5
196,44.11
197,47.94
198,39.99
199,7.98
200,7.99
201,7.99
202,24.99
203,37.99
204,22.99
205,12.97
206,7.29
207,11.28
208,36.0
209,1.0
210,27.99
211,8.89
212,9.98
213,6.99
214,7.79
215,9.47
216,37.75
217,9.95
218,8.72
219,15.84
220,0.99
221,10.95
222,16.99
223,23.99
224,8.26
225,9.86
226,21.99
227,9.9
228,14.95
229,5.99
230,15.98
231,9.45
232,8.5
233,14.95
234,12.99
235,7.95
236,9.79
237,19.59
238,2.0
239,5.99
240,9.99
241,7.49
242,7.95
243,12.95
244,7.49
245,35.95
246,24.99
247,11.0
248,27.99
249,11.7
250,11.94
251,16.89
252,27.49
253,7.85
254,12.34
255,12.98
256,45.56
257,10.55
258,21.99
259,13.99
260,59.99
261,39.95
262,19.59
263,21.99
264,15.5
265,34.0
266,15.99
267,7.93
268,7.85
269,7.99
270,12.23
271,8.49
272,6.31
273,7.98
274,29.99
275,2.0
276,25.56
277,22.49
278,22.89
279,16.0
280,8.99
281,12.91
282,19.99
283,39.98
284,20.0
285,12.99
286,14.0
287,5.29
288,9.99
289,8.9
290,6.33
291,7.95
292,29.98
293,17.99
294,9.48
295,29.85
296,14.0
297,8.25
298,27.95
299,10.75
300,8.25
301,23.29
302,29.99
303,12.99
304,6.99
305,11.98
306,12.99
307,7.49
308,11.75
309,9.95
310,11.99
311,15.9
312,7.99
313,32.8
314,14.99
315,16.09
316,15.98
317,156.62
318,546.39
