,0
0,17.89
1,15.18
2,11.99
3,13.88
4,45.0
5,99.0
6,85.0
7,89.95
8,69.0
9,16.99
10,79.0
11,13.29
12,89.99
13,74.94
14,11.99
15,10.99
16,18.99
17,41.99
18,114.95
19,19.89
20,27.99
21,13.88
22,119.0
23,27.99
24,8.99
25,9.99
26,11.99
27,114.9
28,12.99
29,108.97
30,27.99
31,11.99
32,79.0
33,7.99
34,85.87
35,20.99
36,22.13
37,9.89
38,12.99
39,6.79
40,109.97
41,13.98
42,89.0
43,7.98
44,19.95
45,10.76
46,19.99
47,34.99
48,8.99
49,26.5
50,17.09
51,29.99
52,25.64
53,12.95
54,15.99
55,9.29
56,11.99
57,17.99
58,13.99
59,22.21
60,9.99
61,12.34
62,234.23
63,859.39
64,33.99
65,11.99
66,32.98
67,9.99
68,29.99
69,15.99
70,13.98
71,17.99
72,25.0
73,50.0
74,5.98
75,98.0
76,18.99
77,16.99
78,15.99
79,14.98
80,9.99
81,99.0
82,41.97
83,17.98
84,15.2
85,49.99
86,8.99
87,94.99
88,23.99
89,10.89
90,107.0
91,15.99
92,99.0
93,99.97
94,94.9
95,9.99
96,104.88
97,12.92
98,5.95
99,7.99
100,5.99
101,5.95
102,112.97
103,13.99
104,7.1
105,9.02
106,12.2
107,9.99
108,39.99
109,39.95
110,7.97
111,39.99
112,11.99
113,19.9
114,8.99
115,21.99
116,14.9
117,19.99
118,14.95
119,5.99
120,25.0
121,7.99
122,14.98
123,102.0
124,7.32
125,11.69
126,8.99
127,17.99
128,9.99
129,11.49
130,11.99
131,19.9
132,11.99
133,21.99
134,11.89
135,94.9
136,19.99
137,11.89
138,14.95
139,25.0
140,16.98
141,9.99
142,14.98
143,5.99
144,112.97
145,20.99
146,118.97
147,23.89
148,79.99
149,10.99
150,13.88
151,18.0
152,24.99
153,38.49
154,14.99
155,22.0
156,17.3
157,26.4
158,7.89
159,109.99
160,11.39
161,67.0
162,7.17
163,88.9
164,16.99
165,19.98
166,11.49
167,109.9
168,24.99
169,4.33
170,21.95
171,129.0
172,4.95
173,25.0
174,1.25
175,108.99
176,11.68
177,104.88
178,32.29
179,10.0
180,15.0
181,19.5
182,28.99
183,7.97
184,19.0
185,10.99
186,15.99
187,3.59
188,7.97
189,8.43
190,234.23
191,32.29
192,7.97
193,10.99
194,24.99
195,11.82
196,7.97
197,35.0
198,80.0
199,9.17
200,21.95
201,10.99
202,29.99
203,12.99
204,11.5
205,30.0
206,21.99
207,7.99
208,14.02
209,17.99
210,9.99
211,14.95
212,79.97
213,29.99
214,10.5
215,11.87
216,11.99
217,20.99
218,25.7
219,21.99
220,14.96
221,10.42
222,36.5
223,12.99
224,15.99
225,105.0
226,26.0
227,8.27
228,20.98
229,5.0
230,26.89
231,8.21
232,7.99
233,119.0
234,5.99
235,65.9
236,6.18
237,74.98
238,59.99
239,10.79
240,13.0
241,9.99
242,14.99
243,2.69
244,10.0
245,19.99
246,39.99
247,11.97
248,59.98
249,29.97
250,6.99
251,97.0
252,9.99
253,15.99
254,156.85
255,234.39
256,8.99
257,10.99
258,20.99
259,7.39
260,9.29
261,17.99
262,97.0
263,16.9
264,31.0
265,10.42
266,36.0
267,8.48
268,30.0
269,14.77
270,119.9
271,19.99
272,109.99
273,4.99
274,99.99
275,8.95
276,29.99
277,21.79
278,77.0
279,8.54
280,20.55
281,9.99
282,9.99
283,1.99
284,14.99
285,14.99
286,82.88
287,70.0
288,179.99
289,15.99
290,5.25
291,7.59
292,6.64
293,25.0
294,33.0
295,14.95
296,9.48
297,149.0
298,12.99
299,13.48
300,10.0
301,15.0
302,14.5
303,7.59
304,9.5
305,30.0
306,7.59
307,25.99
308,19.99
309,86.0
310,27.8
311,9.99
312,15.99
313,29.97
314,24.99
315,32.5
316,10.89
317,69.99
318,27.99
319,9.87
