,0
0,18.95
1,34.99
2,18.04
3,32.99
4,14.99
5,44.99
6,57.0
7,27.99
8,37.99
9,28.99
10,28.99
11,32.99
12,29.99
13,18.0
14,20.09
15,11.09
16,39.99
17,32.99
18,30.07
19,37.99
20,29.99
21,32.0
22,32.99
23,12.53
24,62.29
25,37.99
26,38.75
27,27.99
28,36.95
29,48.95
30,49.99
31,89.99
32,39.99
33,79.49
34,35.0
35,17.95
36,39.99
37,32.99
38,29.74
39,27.95
40,85.49
41,34.73
42,34.99
43,40.0
44,41.99
45,84.59
46,41.0
47,27.99
48,124.99
49,126.0
50,27.99
51,33.6
52,69.99
53,39.99
54,32.99
55,83.99
56,43.0
57,42.29
58,39.99
59,21.63
60,49.99
61,234.23
62,33.7
63,15.19
64,25.46
65,39.99
66,44.17
67,39.99
68,39.99
69,70.99
70,41.99
71,39.99
72,39.99
73,32.99
74,37.99
75,36.65
76,29.99
77,23.45
78,45.0
79,65.99
80,54.99
81,49.99
82,43.0
83,32.99
84,36.65
85,21.84
86,46.95
87,34.77
88,40.0
89,44.99
90,26.31
91,36.99
92,49.99
93,61.5
94,39.99
95,119.95
96,41.99
97,41.99
98,59.99
99,56.99
100,29.74
101,28.19
102,29.99
103,41.99
104,23.49
105,89.29
106,46.99
107,37.55
108,64.99
109,49.99
110,34.53
111,62.03
112,39.99
113,28.99
114,32.99
115,37.5
116,39.99
117,79.0
118,37.59
119,49.49
120,44.95
121,13.29
122,18.97
123,35.0
124,17.99
125,45.0
126,44.95
127,36.61
128,5.99
129,55.0
130,70.0
131,40.0
132,79.89
133,42.99
134,34.99
135,56.99
136,40.0
137,6.64
138,30.25
139,39.99
140,94.99
141,35.0
142,40.0
143,42.95
144,30.0
145,49.99
146,20.13
147,44.95
148,38.99
149,69.99
150,49.99
151,27.99
152,56.0
153,27.99
154,79.99
155,44.95
156,42.49
157,45.07
158,50.0
159,32.85
160,67.77
161,16.94
162,39.47
163,40.0
164,124.99
165,88.66
166,36.65
167,108.09
168,29.99
169,34.73
170,49.99
171,40.0
172,49.99
173,58.75
174,79.89
175,51.65
176,44.99
177,32.85
178,50.0
179,35.24
180,55.88
181,14.39
182,39.99
183,5.69
184,21.38
185,234.23
186,546.39
187,34.73
188,14.99
189,15.99
190,32.85
191,50.0
192,35.24
193,55.88
194,79.89
195,14.39
196,32.85
197,41.95
198,27.99
199,61.5
200,32.74
201,39.95
202,34.95
203,32.85
204,39.0
205,58.75
206,84.55
207,32.66
208,59.99
209,126.0
210,7.67
211,12.09
212,49.97
213,56.35
214,32.74
215,15.0
216,6.98
217,39.99
218,59.99
219,5.99
220,44.99
221,37.33
222,64.99
223,16.69
224,44.32
225,32.55
226,55.99
227,34.77
228,55.95
229,79.89
230,44.99
231,45.0
232,69.99
233,108.09
234,62.03
235,69.99
236,32.99
237,34.99
238,44.99
239,46.95
240,43.0
241,59.21
242,43.99
243,39.99
244,52.75
245,85.45
246,16.94
247,6.64
248,234.23
249,21.99
250,39.99
251,23.74
252,28.99
253,32.99
254,46.66
255,39.99
256,32.89
257,29.99
258,15.0
259,39.95
260,119.95
261,39.99
262,32.85
263,23.74
264,17.99
265,29.99
266,37.32
267,37.59
268,15.22
269,36.61
270,30.0
271,32.89
272,20.99
273,39.99
274,40.0
275,64.99
276,105.0
277,44.99
278,30.78
279,34.73
280,59.99
281,39.99
282,49.95
283,59.99
284,32.99
285,14.39
286,34.99
287,8.54
288,21.84
289,89.99
290,28.2
291,32.89
292,70.5
293,71.0
294,37.95
295,59.99
296,53.0
297,18.06
298,77.99
299,79.95
300,43.87
301,39.43
302,109.99
303,75.15
304,46.05
305,77.0
306,90.0
307,44.99
308,67.19
309,25.99
310,234.23
