,0
0,44.49
1,49.95
2,105.0
3,179.99
4,29.95
5,174.95
6,109.99
7,94.95
8,214.95
9,299.95
10,69.0
11,149.94
12,279.99
13,60.0
14,323.69
15,228.24
16,74.0
17,147.99
18,116.99
19,150.0
20,424.95
21,219.95
22,177.99
23,79.99
24,339.99
25,179.99
26,319.99
27,409.0
28,519.99
29,299.99
30,394.0
31,129.95
32,230.0
33,93.99
34,289.99
35,69.95
36,89.95
37,140.0
38,47.99
39,69.0
40,69.95
41,134.95
42,112.99
43,227.95
44,170.0
45,74.99
46,118.99
47,309.99
48,164.0
49,179.0
50,59.9
51,95.99
52,337.95
53,47.99
54,80.0
55,599.95
56,174.99
57,79.99
58,164.0
59,172.75
60,139.95
61,89.99
62,119.99
63,309.99
64,89.99
65,75.99
66,68.99
67,178.88
68,172.75
69,139.95
70,99.88
71,79.99
72,374.99
73,149.99
74,84.95
75,214.95
76,179.99
77,88.99
78,329.0
79,154.0
80,124.99
81,199.95
82,419.99
83,135.99
84,298.49
85,339.0
86,88.88
87,99.99
88,90.99
89,188.99
90,320.99
91,119.0
92,89.95
93,79.95
94,89.99
95,299.99
96,294.95
97,89.95
98,149.99
99,140.0
100,270.0
101,88.95
102,47.99
103,209.49
104,129.95
105,163.5
106,873.99
107,174.95
108,334.99
109,74.95
110,79.95
111,269.95
112,49.99
113,121.46
114,227.95
115,169.95
116,207.95
117,120.99
118,109.2
119,217.95
120,299.0
121,88.95
122,135.99
123,159.99
124,131.99
125,86.99
126,234.54
127,86.99
128,89.99
129,129.0
130,88.49
131,139.0
132,159.8
133,107.99
134,267.99
135,98.99
136,141.99
137,239.99
138,159.97
139,394.95
140,144.95
141,201.9
142,64.46
143,114.95
144,74.95
145,99.99
146,269.95
147,69.95
148,134.99
149,154.99
150,95.0
151,132.79
152,139.99
153,112.95
154,81.99
155,119.99
156,249.99
157,63.99
158,74.0
159,120.99
160,108.99
161,109.99
162,105.99
163,103.99
164,96.95
165,85.0
166,124.99
167,165.99
168,114.95
169,129.0
170,234.99
171,169.99
172,110.99
173,69.99
174,114.95
175,174.95
176,79.95
177,105.0
178,189.99
179,154.99
180,80.7
181,87.95
182,119.99
183,89.99
184,309.0
185,64.99
186,49.95
187,123.95
188,89.99
189,84.99
190,68.98
191,89.99
192,179.99
193,169.99
194,164.97
195,120.99
196,109.2
197,377.49
198,119.99
199,114.0
200,214.8
201,63.99
202,55.0
203,93.95
204,398.05
205,152.0
206,49.95
207,134.95
208,249.99
209,79.95
210,269.49
211,200.0
212,184.99
213,84.99
214,129.99
215,109.95
216,69.95
217,108.99
218,155.0
219,149.95
220,139.0
221,139.99
222,84.99
223,77.99
224,149.95
225,123.35
226,128.98
227,79.99
228,69.49
229,89.99
230,169.99
231,174.95
232,102.95
233,104.95
234,49.99
235,121.99
236,194.99
237,165.99
238,66.0
239,91.0
240,139.99
241,119.99
242,80.75
243,92.99
244,359.0
245,129.0
246,169.99
247,289.99
248,95.0
249,120.0
250,79.0
251,79.99
252,49.99
253,234.54
254,49.99
255,119.95
256,46.49
257,267.95
258,112.49
259,69.95
260,200.0
261,129.0
262,169.99
263,289.99
264,95.0
265,120.0
266,159.99
267,79.0
268,88.99
269,174.99
270,189.99
271,144.0
272,235.0
273,139.99
274,394.95
275,174.99
276,78.95
277,129.89
278,68.0
279,279.99
280,44.99
281,83.99
282,121.99
283,76.99
284,140.99
285,289.95
286,66.0
287,114.99
288,139.95
289,119.99
290,299.99
291,111.99
292,53.99
293,199.0
294,189.95
295,576.99
296,124.95
297,299.99
298,199.95
299,114.88
300,114.0
301,144.99
302,74.99
303,139.95
304,329.0
305,149.99
306,105.0
307,74.0
308,84.0
309,94.0
310,134.85
311,64.99
312,74.99
313,419.99
314,239.95
315,89.95
316,94.95
317,234.54
