,0
0,8.49
1,11.99
2,13.95
3,9.39
4,12.98
5,1.95
6,6.99
7,8.59
8,9.45
9,6.99
10,6.59
11,7.59
12,7.99
13,3.5
14,24.95
15,8.99
16,9.99
17,9.93
18,5.99
19,7.99
20,7.29
21,19.99
22,26.79
23,9.39
24,13.99
25,11.11
26,10.89
27,8.99
28,15.99
29,6.99
30,6.99
31,3.98
32,7.98
33,8.69
34,24.99
35,11.69
36,11.49
37,13.9
38,11.99
39,4.79
40,8.99
41,6.99
42,24.95
43,8.99
44,6.87
45,10.49
46,19.99
47,10.97
48,9.69
49,7.95
50,7.55
51,6.99
52,11.69
53,22.99
54,9.99
55,15.99
56,8.98
57,8.49
58,8.65
59,13.97
60,5.72
61,7.69
62,156.85
63,12.99
64,8.14
65,15.99
66,14.09
67,18.19
68,8.65
69,7.95
70,8.99
71,11.49
72,6.95
73,8.99
74,9.95
75,6.14
76,7.36
77,16.45
78,9.99
79,5.65
80,9.99
81,8.9
82,6.87
83,24.99
84,7.99
85,2.68
86,12.95
87,9.45
88,5.98
89,7.95
90,9.15
91,18.99
92,24.43
93,9.69
94,4.59
95,7.99
96,11.99
97,31.99
98,10.99
99,3.99
100,6.89
101,9.39
102,10.49
103,9.99
104,14.0
105,14.95
106,9.99
107,80.1
108,10.95
109,8.99
110,7.99
111,6.89
112,7.49
113,4.95
114,8.59
115,8.49
116,4.99
117,6.2
118,2.69
119,11.99
120,6.99
121,7.19
122,8.0
123,24.99
124,24.95
125,14.88
126,24.99
127,9.39
128,9.9
129,5.0
130,9.49
131,10.99
132,6.99
133,16.1
134,30.0
135,7.98
136,2.07
137,14.49
138,2.54
139,8.99
140,9.69
141,23.99
142,4.99
143,8.99
144,12.14
145,4.99
146,9.39
147,4.38
148,8.11
149,4.89
150,8.98
151,7.98
152,14.0
153,0.99
154,16.99
155,52.94
156,24.99
157,9.39
158,8.99
159,5.79
160,8.99
161,4.83
162,3.22
163,5.55
164,6.99
165,18.79
166,9.19
167,15.26
168,2.56
169,4.89
170,6.99
171,15.0
172,14.99
173,7.59
174,6.59
175,9.99
176,3.95
177,2.71
178,6.89
179,28.0
180,7.95
181,6.59
182,10.44
183,1.0
184,10.97
185,6.59
186,6.99
187,10.97
188,2.99
189,5.99
190,41.95
191,8.09
192,14.99
193,12.99
194,7.17
195,4.99
196,7.99
197,80.1
198,6.81
199,9.95
200,8.99
201,8.99
202,5.89
203,8.98
204,7.99
205,10.44
206,9.45
207,8.99
208,7.99
209,5.29
210,7.48
211,3.74
212,8.99
213,6.59
214,7.99
215,7.99
216,7.99
217,6.49
218,6.99
219,13.99
220,44.97
221,10.44
222,17.92
223,22.99
224,5.96
225,8.54
226,7.89
227,7.63
228,30.0
229,9.15
230,6.49
231,9.99
232,9.99
233,8.83
234,14.97
235,2.5
236,6.99
237,10.69
238,4.95
239,9.99
240,8.19
241,4.74
242,4.99
243,12.95
244,17.99
245,18.89
246,11.39
247,10.99
248,11.36
249,12.99
250,4.99
251,15.99
252,4.99
253,21.99
254,5.99
255,6.98
256,7.49
257,5.75
258,12.34
259,6.49
260,6.79
261,4.59
262,6.99
263,5.84
264,3.95
265,6.25
266,7.67
267,28.98
268,19.99
269,9.99
270,7.99
271,5.98
272,20.99
273,6.64
274,3.15
275,7.88
276,11.99
277,7.99
278,37.94
279,8.99
280,13.49
281,10.0
282,11.69
283,8.26
284,6.99
285,5.99
286,12.32
287,8.85
288,5.98
289,14.0
290,12.5
291,7.97
292,5.98
293,4.99
294,8.33
295,7.99
296,6.78
297,2.68
298,10.49
299,9.99
300,10.99
301,17.99
302,12.5
303,15.0
304,11.27
305,17.45
