,0
0,12.34
1,20.89
2,8.54
3,19.99
4,10.97
5,6.85
6,12.34
7,16.15
8,12.15
9,49.99
10,229.99
11,114.99
12,91.88
13,159.99
14,10.33
15,8.99
16,12.34
17,89.99
18,59.99
19,70.5
20,13.86
21,14.99
22,109.99
23,14.99
24,11.39
25,49.99
26,69.99
27,16.64
28,43.99
29,65.99
30,65.97
31,77.77
32,47.93
33,18.99
34,166.99
35,79.99
36,10.49
37,84.99
38,34.77
39,10.99
40,89.0
41,81.81
42,184.99
43,75.0
44,52.99
45,10.71
46,169.95
47,89.99
48,13.86
49,64.99
50,12.99
51,59.99
52,12.99
53,66.38
54,27.99
55,49.99
56,88.99
57,79.99
58,10.71
59,259.99
60,87.0
61,12.59
62,10.95
63,5.93
64,13.29
65,11.69
66,8.11
67,55.95
68,10.71
69,9.99
70,15.29
71,87.0
72,10.89
73,79.99
74,125.0
75,69.99
76,46.99
77,36.4
78,54.99
79,69.99
80,19.99
81,24.43
82,12.34
83,54.99
84,12.59
85,119.99
86,8.54
87,16.14
88,129.99
89,79.99
90,70.68
91,89.99
92,39.0
93,54.99
94,41.65
95,119.99
96,6.25
97,99.99
98,8.99
99,66.96
100,158.99
101,47.99
102,37.45
103,54.99
104,40.89
105,11.69
106,79.51
107,14.24
108,89.99
109,54.99
110,14.56
111,74.99
112,49.99
113,82.99
114,89.99
115,129.99
116,79.99
117,99.99
118,8.67
119,77.99
120,54.99
121,24.43
122,121.99
123,79.99
124,8.54
125,37.1
126,234.23
127,7.84
128,29.99
129,15.99
130,13.53
131,29.95
132,39.47
133,64.99
134,78.67
135,46.99
136,49.99
137,254.74
138,169.99
139,61.99
140,165.99
141,17.99
142,12.23
143,12.34
144,54.99
145,109.88
146,121.99
147,73.65
148,24.43
149,114.99
150,49.99
151,13.79
152,12.21
153,219.99
154,82.99
155,84.99
156,39.99
157,64.99
158,199.99
159,79.15
160,86.04
161,214.99
162,97.75
163,94.99
164,309.7
165,49.99
166,199.0
167,79.99
168,74.99
169,99.0
170,99.99
171,97.9
172,11.25
173,54.99
174,59.99
175,59.99
176,56.99
177,54.99
178,253.79
179,14.79
180,37.59
181,16.62
182,109.99
183,64.99
184,89.99
185,54.99
186,9.94
187,129.99
188,10.59
189,41.79
190,546.39
191,21.99
192,12.91
193,199.0
194,6.99
195,16.99
196,119.99
197,103.39
198,54.95
199,69.99
200,89.99
201,84.99
202,44.99
203,54.99
204,124.99
205,13.99
206,8.0
207,129.99
208,94.99
209,59.99
210,54.99
211,96.0
212,83.95
213,149.99
214,49.99
215,21.01
216,59.99
217,62.6
218,99.99
219,59.99
220,89.99
221,269.98
222,13.99
223,62.96
224,65.99
225,29.0
226,129.99
227,46.99
228,15.99
229,54.99
230,42.7
231,49.99
232,372.99
233,79.98
234,144.89
235,37.99
236,349.99
237,85.53
238,94.0
239,7.69
240,80.99
241,18.75
242,12.21
243,9.99
244,46.99
245,30.92
246,11.51
247,84.99
248,109.99
249,119.99
250,89.99
251,96.5
252,26.95
253,63.4
254,624.39
255,0.99
256,16.91
257,11.63
258,11.3
259,34.95
260,69.99
261,124.99
262,54.99
263,77.99
264,82.99
265,64.99
266,99.89
267,269.98
268,45.99
269,25.99
270,124.99
271,62.99
272,51.69
273,80.43
274,89.99
275,39.99
276,7.99
277,76.99
278,119.99
279,15.99
280,64.99
281,37.59
282,29.0
283,61.99
284,59.36
285,14.99
286,109.99
287,89.99
288,48.99
289,42.99
290,186.68
291,34.99
292,109.99
293,12.11
294,9.49
295,129.99
296,54.99
297,164.49
298,94.99
299,59.99
300,59.99
301,104.0
302,25.75
303,84.4
304,32.99
305,34.99
306,189.99
307,100.0
308,74.99
309,61.84
310,79.99
311,79.99
312,94.99
313,7.51
314,119.99
315,82.99
316,10.44
317,74.99
318,234.23
