,0
0,14.99
1,15.99
2,48.9
3,29.95
4,9.69
5,349.95
6,49.99
7,85.93
8,39.99
9,28.09
10,39.95
11,9.95
12,32.99
13,21.54
14,23.39
15,48.9
16,8.43
17,38.79
18,20.99
19,16.02
20,69.59
21,109.95
22,7.95
23,28.79
24,3.89
25,16.99
26,14.99
27,68.5
28,24.0
29,16.49
30,12.87
31,39.97
32,21.98
33,99.94
34,19.99
35,58.4
36,36.99
37,14.99
38,5.49
39,7.88
40,235.0
41,21.99
42,68.95
43,24.47
44,99.99
45,12.34
46,27.99
47,28.98
48,3.99
49,10.0
50,1.59
51,3.99
52,14.99
53,7.99
54,14.21
55,3.29
56,61.49
57,10.49
58,19.99
59,9.99
60,58.4
61,39.98
62,33.95
63,234.23
64,39.98
65,33.95
66,62.95
67,5.89
68,29.99
69,12.95
70,9.99
71,10.95
72,1.97
73,11.99
74,43.19
75,12.99
76,7.99
77,3.99
78,3.33
79,8.16
80,157.5
81,10.79
82,8.75
83,120.0
84,21.59
85,11.48
86,16.49
87,39.99
88,16.99
89,5.95
90,2.69
91,19.39
92,8.99
93,55.0
94,5.49
95,18.25
96,6.81
97,64.99
98,6.27
99,9.45
100,27.5
101,18.9
102,55.99
103,6.73
104,10.94
105,19.99
106,12.95
107,2.84
108,5.95
109,11.99
110,21.95
111,2.95
112,58.4
113,7.75
114,8.7
115,5.49
116,9.95
117,9.99
118,39.95
119,99.96
120,25.04
121,20.94
122,9.95
123,68.99
124,15.26
125,0.99
126,39.99
127,624.39
128,234.23
129,46.96
130,14.99
131,4.99
132,1.79
133,20.0
134,10.99
135,9.95
136,9.77
137,49.59
138,19.39
139,54.5
140,5.65
141,20.49
142,13.25
143,3.09
144,4.35
145,18.68
146,22.56
147,14.99
148,33.99
149,8.95
150,13.65
151,20.0
152,45.97
153,11.95
154,83.41
155,59.99
156,6.95
157,64.99
158,5.19
159,22.99
160,15.95
161,16.29
162,10.79
163,23.99
164,98.95
165,32.99
166,7.99
167,14.98
168,16.93
169,104.99
170,3.35
171,12.0
172,69.99
173,10.99
174,7.55
175,3.82
176,19.99
177,6.69
178,6.9
179,5.41
180,14.99
181,16.99
182,6.99
183,10.58
184,38.0
185,5.23
186,30.99
187,61.0
188,9.39
189,7.99
190,24.95
191,9.99
192,234.23
193,9.99
194,20.99
195,17.21
196,0.99
197,8.99
198,5.86
199,7.95
200,6.99
201,15.8
202,2.99
203,5.99
204,13.99
205,4.98
206,18.0
207,3.59
208,0.99
209,12.0
210,14.49
211,18.99
212,10.95
213,12.91
214,69.99
215,6.95
216,30.07
217,12.95
218,42.99
219,5.95
220,12.75
221,31.95
222,8.65
223,8.99
224,56.98
225,14.55
226,69.94
227,15.33
228,2.75
229,19.95
230,3.5
231,7.99
232,4.99
233,1.99
234,7.47
235,5.86
236,5.97
237,10.75
238,7.3
239,2.99
240,5.99
241,9.59
242,8.95
243,7.99
244,7.44
245,157.01
246,14.0
247,10.49
248,39.99
249,49.99
250,199.95
251,16.5
252,7.92
253,34.99
254,13.62
255,204.9
256,859.39
257,11.99
258,9.99
259,11.99
260,13.95
261,13.99
262,16.5
263,7.92
264,14.5
265,34.99
266,39.99
267,69.99
268,19.57
269,7.99
270,26.99
271,204.9
272,22.75
273,129.99
274,64.99
275,84.99
276,8.95
277,15.88
278,10.55
279,12.97
280,64.99
281,5.99
282,5.89
283,15.33
284,5.86
285,31.49
286,7.75
287,199.99
288,3.48
289,60.0
290,54.99
291,34.0
292,13.95
293,30.0
294,13.99
295,6.99
296,8.07
297,9.88
298,4.99
299,12.5
300,12.34
301,10.95
302,4.0
303,5.99
304,15.88
305,169.0
306,13.99
307,11.95
308,17.55
309,7.99
310,20.0
311,7.55
312,9.99
313,18.0
314,4.74
315,9.99
316,3.89
317,11.05
318,62.99
319,41.99
